Loss 1.1000634201437883e-05, Test Accuracy 0.987717383970385, Train Accuracy 1.0, Val Accuracy 0.9741304278373718, Test Seq Accuracy 0.7175, Train Seq Accuracy 1.0, Val Seq Accuracy 0.40499999999999997
Loss 0.0015374600239422011, Test Accuracy 0.9881630364967429, Train Accuracy 1.0, Val Accuracy 0.9772173846545427, Test Seq Accuracy 0.72775, Train Seq Accuracy 1.0, Val Seq Accuracy 0.4760000000000001
Loss 0.0009054301063651624, Test Accuracy 0.9862608616766723, Train Accuracy 0.9998271221082896, Val Accuracy 0.9728152058694673, Test Seq Accuracy 0.6839999999999999, Train Seq Accuracy 0.996023809523811, Val Seq Accuracy 0.43674999999999997
Loss 0.0005938103017599686, Test Accuracy 0.984130425038545, Train Accuracy 0.9996894408827243, Val Accuracy 0.9806195545455684, Test Seq Accuracy 0.6517499999999999, Train Seq Accuracy 0.9928571428571449, Val Seq Accuracy 0.5904999999999999
Loss 0.00030086039686980456, Test Accuracy 0.9951956498882045, Train Accuracy 0.9999958592171995, Val Accuracy 0.9844347729631092, Test Seq Accuracy 0.8895, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.6437499999999999
Loss 3.181208613450112e-05, Test Accuracy 0.9884673853283343, Train Accuracy 0.9999958592171995, Val Accuracy 0.9814782486013744, Test Seq Accuracy 0.735, Train Seq Accuracy 0.999904761904762, Val Seq Accuracy 0.6174999999999999
Writing models at epoch 56
Loss 8.206782260221308e-06, Test Accuracy 0.988608689930128, Train Accuracy 1.0, Val Accuracy 0.987152166340662, Test Seq Accuracy 0.7380000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7125
Loss 0.0003073733785878057, Test Accuracy 0.9947717375081518, Train Accuracy 0.9998333333071715, Val Accuracy 0.9845652096945307, Test Seq Accuracy 0.8797499999999999, Train Seq Accuracy 0.9961904761904776, Val Seq Accuracy 0.6684999999999998
Loss 5.9267328849629216e-05, Test Accuracy 0.9896521695282148, Train Accuracy 0.9999772256945971, Val Accuracy 0.9780217304177906, Test Seq Accuracy 0.7655000000000001, Train Seq Accuracy 0.9994761904761906, Val Seq Accuracy 0.5345
Loss 1.627693975182331e-05, Test Accuracy 0.9886086894118268, Train Accuracy 1.0, Val Accuracy 0.9824021598567133, Test Seq Accuracy 0.738, Train Seq Accuracy 1.0, Val Seq Accuracy 0.64825
Loss 0.0004264362075406572, Test Accuracy 0.9936521693416264, Train Accuracy 0.9999389234166708, Val Accuracy 0.9857499915620554, Test Seq Accuracy 0.8540000000000001, Train Seq Accuracy 0.9985952380952389, Val Seq Accuracy 0.6907499999999999
Loss 0.00011574174277484417, Test Accuracy 0.9901086887587671, Train Accuracy 0.9999989648042998, Val Accuracy 0.9828912950080374, Test Seq Accuracy 0.7835, Train Seq Accuracy 0.9999761904761905, Val Seq Accuracy 0.64025
Loss 7.214339743570789e-06, Test Accuracy 0.993554341663485, Train Accuracy 1.0, Val Accuracy 0.9812065105075422, Test Seq Accuracy 0.8575000000000002, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6015
Loss 4.3914630583932865e-06, Test Accuracy 0.9932826017555983, Train Accuracy 1.0, Val Accuracy 0.9848043383463569, Test Seq Accuracy 0.8535, Train Seq Accuracy 1.0, Val Seq Accuracy 0.6785
Writing models at epoch 64
Loss 5.596617879548474e-06, Test Accuracy 0.9903586873541708, Train Accuracy 1.0, Val Accuracy 0.9875217287436776, Test Seq Accuracy 0.8074999999999999, Train Seq Accuracy 1.0, Val Seq Accuracy 0.7309999999999999
Loss 4.4332589427738085e-05, Test Accuracy 0.9849673829648806, Train Accuracy 0.9999461697865717, Val Accuracy 0.9783586850632792, Test Seq Accuracy 0.687, Train Seq Accuracy 0.9987619047619053, Val Seq Accuracy 0.5755000000000001
Loss 0.00018751829781610033, Test Accuracy 0.9904891258996465, Train Accuracy 0.9999306418263888, Val Accuracy 0.9837391219709231, Test Seq Accuracy 0.7980000000000002, Train Seq Accuracy 0.9984047619047627, Val Seq Accuracy 0.63
Loss 6.172179912581392e-05, Test Accuracy 0.9941304302733878, Train Accuracy 0.9999699793123558, Val Accuracy 0.9876086858303651, Test Seq Accuracy 0.865, Train Seq Accuracy 0.9993095238095242, Val Seq Accuracy 0.7150000000000001
Writing models at epoch 68
Loss 1.8048701230841488e-05, Test Accuracy 0.9949021693157113, Train Accuracy 0.9999523809607725, Val Accuracy 0.9897065136743628, Test Seq Accuracy 0.883, Train Seq Accuracy 0.9989047619047624, Val Seq Accuracy 0.7695
Loss 5.21182949381435e-06, Test Accuracy 0.9956412993047549, Train Accuracy 0.9999968944128996, Val Accuracy 0.983478250062984, Test Seq Accuracy 0.8997499999999998, Train Seq Accuracy 0.9999285714285715, Val Seq Accuracy 0.6365000000000001
Loss 6.13191893891148e-06, Test Accuracy 0.9932282537221908, Train Accuracy 1.0, Val Accuracy 0.9773586869239808, Test Seq Accuracy 0.8442500000000001, Train Seq Accuracy 1.0, Val Seq Accuracy 0.5085
Loss 6.136749162460151e-05, Test Accuracy 0.9917173840429472, Train Accuracy 0.9999161490989275, Val Accuracy 0.9838478149279304, Test Seq Accuracy 0.82125, Train Seq Accuracy 0.9980714285714293, Val Seq Accuracy 0.64725
Loss 4.288735394568547e-05, Test Accuracy 0.993684779042783, Train Accuracy 0.999952380973113, Val Accuracy 0.9835760777411253, Test Seq Accuracy 0.8560000000000001, Train Seq Accuracy 0.9989047619047626, Val Seq Accuracy 0.6435
